principal,variantes
"belleza (característica, general)",beautiful
"belleza (característica, general)",beauty
"belleza (característica, general)",beauties
"belleza (característica, general)",belleza
"belleza (característica, general)",bello
"belleza (característica, general)",bella
"belleza (característica, general)",pretty
"feo (característica, general)",ugly
"feo (característica, general)",uglies
"feo (característica, general)",unpleasants
"feo (característica, general)",unpleasant
"feo (característica, general)",feo
"feo (característica, general)",fea
"feo (característica, general)",feos
"feo (característica, general)",feas
"expectación (característica, general)",anticipation
"expectación (característica, general)",expectacion
"expectación (característica, general)",expectation
"ilusión (característica, general)",hope
"desilusión (característica, general)",disillusionment
"maravilloso (característica, general)",wonderful
"maravilloso (característica, general)",marvelous
"maravilloso (característica, general)",marvellous
"maravilloso (característica, general)",amazing
"maravilloso (característica, general)",fantástico
"aburrido (característica, general)",aburrido
"aburrido (característica, general)",boring
"aburrido (característica, general)",bored
"terrible (característica, general)",terrible
"terrible (característica, general)",awful
"bueno (característica, general)",good
"malo (característica, general)",bad
"ira  (característica, general)",anger
"asco (característica, general)",disgust
"asco (característica, general)",dislike
"positivo  (característica, general)",positive
"negativo  (característica, general)",negative
"miedo  (característica, general)",fear
"alegría  (característica, general)",joy
"tristeza (característica, general)",sadness
"confianza (característica, general)",trust
"sorpresa  (característica, general)",surprise
"calor  (característica, general)",heat
"calor  (característica, general)",hot
"calor  (característica, general)",sunny
"calor  (característica, general)",calor
"calor  (característica, general)",warmth
"frío (característica, general)",cold
"frío (característica, general)",frio
"amor  (característica, general)",love
"odio  (característica, general)",hate
"paseo  (característica, general)",stroll
"paseo  (característica, general)",strolls
"tertulia  (característica, general)",tertulia
"tertulia  (característica, general)",tertulias
"tertulia  (característica, general)",gathering
"tertulia  (característica, general)",gatherings
"camino  (característica, general)",road
"camino  (característica, general)",roads
"camino  (característica, general)",highway
"camino  (característica, general)",highways
"camino  (característica, general)",byway
"camino  (característica, general)",byways
"camino  (característica, general)",route
"camino  (característica, general)",routes
"camino  (característica, general)",camino
"camino  (característica, general)",caminos
"camino  (característica, general)",foothpath
"camino  (característica, general)",sendero
"camino  (característica, general)",senderos
"camino  (característica, general)",foothpaths
"camino  (característica, general)",path
"viaje  (característica, general)",trip
"viaje  (característica, general)",journey
"viaje  (característica, general)",journeys
"viaje  (característica, general)",viaje
"viaje  (característica, general)",travel
"viaje  (característica, general)",travels
"viaje  (característica, general)",viajes
"viaje  (característica, general)",tour
"viaje  (característica, general)",tours
"viajero (característica, general)",viajero
"viajero (característica, general)",viajera
"viajero (característica, general)",viajeros
"viajero (característica, general)",viajeras
"viajero (característica, general)",wanderer
"viajero (característica, general)",wanderers
"viajero (característica, general)",traveller
"viajero (característica, general)",travellers
"viajero (característica, general)",tourist
"viajero (característica, general)",tourists
"virgen  (característica, general)",virgin
"virgen  (característica, general)",virgen
"virgen  (característica, general)",santa
"diosa  (característica, general)",diosa
"santo  (característica, general)",san
"santo/a  (característica, general)",st.
"santo/a  (característica, general)",saint
"dios (característica, general)",dios
"dios (característica, general)",god
"exótico (característica, general)",exotic
"exótico (característica, general)",exotics
"exótico (característica, general)",exotico
"exótico (característica, general)",exoticos
"delicioso (característica, general)",delicious
"delicioso (característica, general)",delicioso
"pobre (característica, general)",poor
"pobre (característica, general)",poors
"pobre (característica, general)",pobre
"rico (característica, general)",rico
"rico (característica, general)",rich
"rico (característica, general)",riches
"orgullO/so (característica, general)",proud
"orgullO/so (característica, general)",prouds
"orgullO/so (característica, general)",pride
"orgullO/so (característica, general)",orgulloso
"orgullO/so (característica, general)",orgullo
"tradición (característica, general)",tradition
"tradición (característica, general)",custom
"tradición (característica, general)",tradicion
"tradición (característica, general)",tradición
"fiesta (característica, general)",fiesta
"fiesta (característica, general)",fiestas
"fiesta (característica, general)",feast
"pintoresco (característica, general)",picturesque
"pintoresco (característica, general)",picturesques
"pintoresco (característica, general)",pintoresco 
"ole (característica, general)",ole
"ole (característica, general)",olé
"ole (característica, general)",oles
"viva (característica, general)",viva
"viva (característica, general)",vivas
"bravo (característica, general)",bravo
"bravo (característica, general)",bravos
"divertido (característica, general)",divertido
"divertido (característica, general)",divertida
"divertido (característica, general)",fun
"divertido (característica, general)",funny
"alegre-amable (característica, personalidad)",alegre
"alegre-amable (característica, personalidad)",joyful
"alegre-amable (característica, personalidad)",joyfuls
"alegre-amable (característica, personalidad)",cheerful
"alegre-amable (característica, personalidad)",cheerfuls
"alegre-amable (característica, personalidad)",friendly
"alegre-amable (característica, personalidad)",friendlies
"alegre-amable (característica, personalidad)",amable
"simpático  (característica, personalidad)",simpatico
"simpático  (característica, personalidad)",simpático
"simpático  (característica, personalidad)",simpaticos
"simpático  (característica, personalidad)",simpatica
"simpático  (característica, personalidad)",simpática
"simpático  (característica, personalidad)",simpaticas
"simpático  (característica, personalidad)",sympathetic
"religioso  (característica, personalidad)",religious
"religioso  (característica, personalidad)",religioso
"religioso  (característica, personalidad)",religiosos
"caridad  (característica, personalidad)",charity
"caridad  (característica, personalidad)",charitable
"caridad  (característica, personalidad)",caridad
"cortejo (característica, personalidad)",courting
"cortejo (característica, personalidad)",cortejo
"cortejo (característica, personalidad)",novio
"cortejo (característica, personalidad)",novia
"cortejo (característica, personalidad)",boyfriend
"cortejo (característica, personalidad)",girlfriend
"exagerado (característica, personalidad)",exaggerated
"exagerado (característica, personalidad)",exagerados
"exagerado (característica, personalidad)",exagerado
"fiable (característica, personalidad)",reliable
"fiable (característica, personalidad)",reliables
"fiable (característica, personalidad)",fiable
"fiable (característica, personalidad)",trustly
"chulo (característica, personalidad)",chulo
"chulo (característica, personalidad)",chulos
"encantador (característica, personalidad)",delightful
" encantador (característica, personalidad)",encantador
"generoso (característica, personalidad)",generous
"generoso (característica, personalidad)",genrouses
"generoso (característica, personalidad)",generoso
"honestidad (característica, personalidad)",honesty
"honestidad (característica, personalidad)",honestidad
"honestidad (característica, personalidad)",honest
"honestidad (característica, personalidad)",honests
"honestidad (característica, personalidad)",honesto
"hospitalario (característica, personalidad)",welcoming
"hospitalario (característica, personalidad)",welcomings
"hospitalario (característica, personalidad)",hospitalario
"hospitalario (característica, personalidad)",hospitality
"hospitalario (característica, personalidad)",hospitable
"inpuntual (característica, personalidad)",unpuctual
"inpuntual (característica, personalidad)",unpunctuals
"inpuntual (característica, personalidad)",impuntual
"juerga (característica, personalidad)",juerga
"majo (característica, personalidad)",majo
"majo (característica, personalidad)",majos
"maja (característica, personalidad)",maja
"maja (característica, personalidad)",majas
"patriota (característica, personalidad)",patriotic
"patriota (característica, personalidad)",patriotics
"patriota (característica, personalidad)",patriot
"patriota (característica, personalidad)",patriota
"patriota (característica, personalidad)",patriots
"perezoso (característica, personalidad)",lazy
"perezoso (característica, personalidad)",lazies
"perezoso (característica, personalidad)",perezoso
"siesta  (característica, personalidad)",siesta
"siesta  (característica, personalidad)",siestas
"guason (característica, personalidad)",guason
"guason (característica, personalidad)",guasón
"valiente  (característica, personalidad)",brave
"valiente  (característica, personalidad)",braves
"valiente  (característica, personalidad)",bravly
"valiente  (característica, personalidad)",valiente
"cobarde  (característica, personalidad)",coward
"cobarde  (característica, personalidad)",cobarde
"cobarde  (característica, personalidad)",cowardly
"violento  (característica, personalidad)",violent
"violento  (característica, personalidad)",violents
"violento  (característica, personalidad)",violento
"guapo (característica, personalidad)",handsome
"guapo (característica, personalidad)",guapo
"guapa (característica, personalidad)",pretty girl
"guapa (característica, personalidad)",guapa
"chica (género, femenino)",girl
"chica (género, femenino)",girls
"chica (género, femenino)",chica
"chica (género, femenino)",chicas
"chica (género, femenino)",nina
"chica (género, femenino)",niña
"chica (género, femenino)",niñas
"chica (género, femenino)",ninas
"mujer (género, femenino)",mujer
"mujer (género, femenino)",mujeres
"mujer (género, femenino)",woman
"mujer (género, femenino)",women
"señora (género, femenino)",ladies
"señora (género, femenino)",lady
