principal,variantes,menciones
sevilla,seville,59
córdoba,cordova,52
ronda,ronda,33
andalucia,andalusia,16
granada,granada,16
algeciras,algeciras,14
santiponce,italica,10
huelva,huelva,4
sevilla,sevilla,4
córdoba,cordoba,3
cádiz,cadiz,2
málaga,malaga,1
santiponce,santiponce,1
utrera,utrera,1
