principal,variantes,menciones
granada,granada,43
sevilla,seville,35
córdoba,cordova,29
ronda,ronda,24
cádiz,cadiz,18
algeciras,algeciras,13
bobadilla,bobadilla,9
baeza,baeza,8
jerez de la frontera,jerez,5
utrera,utrera,4
andalucia,andalusia,1
jerez de la frontera,sherry,1
córdoba,cordoba,1
sevilla,sevilla,1
